session_uuid,name,local_start_time,wiki_pricing_timestamp,duration_seconds,trip_count,net_profit,total_gain,total_loss
5dd3383a-5d96-4a52-8cbc-137f0899db88,0000,2026-01-13 03:43:56 PM,1768343100,2730,7,916501,1081446,-164945
d86a285f-c2e6-435f-9657-bb070bf2366a,0001,2026-01-14 06:41:37 PM,1768442700,5105,15,1624160,145329406,-143705246
03d81bfc-6406-46d2-85f7-fa1bd2ced911,0002,2026-01-14 11:34:57 PM,1768460400,5397,13,1910021,2214527,-304506
e13035d1-86de-4519-a247-35392c048c76,0003,2026-01-15 08:31:16 PM,1768535100,4457,11,1812556,2065008,-252452
4fa5b635-2870-4b64-8af5-5b0c3a200827,0004,2026-01-16 06:38:51 PM,1768615500,5287,15,1952235,2276248,-324013
8beb8f26-fcbd-4065-b86c-8b157627b2f3,0005,2026-01-17 12:20:24 AM,1768633500,2804,7,1003215,1181235,-178020
2fb6d444-550d-4159-b0a9-36a14bcfea2c,0006,2026-01-17 01:08:58 AM,1768638600,4882,12,1739663,2064830,-325167
1369cfea-cc2d-479d-a17b-c773bd0cbd43,0007,2026-01-17 01:07:07 PM,1768684500,7840,19,2990720,3532191,-541471
864b1137-d459-4d79-9ea7-153d0e0a37f4,0008,2026-01-17 11:37:56 PM,1768719600,5038,13,1993234,2326643,-333409
290bddc7-c087-434c-885d-8c2d002a06a1,0009,2026-01-18 11:44:24 PM,1768807800,6621,15,2613159,3075686,-462527
4300808f-fddf-416a-a2b2-69b15c0422cf,0010,2026-01-19 01:58:54 AM,1768813200,3943,10,1511484,1790763,-279279
69825bf4-014e-4c6b-a271-9496c06bac4d,0011,2026-01-19 02:09:55 PM,1768859100,5792,14,2076699,2455533,-378834
c21cce3a-ddbc-474e-98e1-17db7bfc7bf0,0012,2026-01-19 08:10:57 PM,1768884600,9628,22,3027473,3667511,-640038
52644b91-9ca9-4cdf-a27a-9112bda2ea0c,0013,2026-01-20 12:17:26 AM,1768892400,2633,8,824835,1269480,-444645
e301bb0a-a8ca-4ff3-8d16-d167a43e4d56,0014,2026-01-20 01:08:11 AM,1768897200,4320,13,1585599,150071048,-148485449
6621c323-d833-4b01-892c-d4a676b3125b,0015,2026-01-23 07:40:58 PM,1769230500,11797,26,3841981,4571817,-729836
0c2da056-7fc6-4b09-aeff-7f98d732be49,0016,2026-01-24 06:06:54 PM,1769316600,17222,41,6570198,7646623,-1076425
60ff452b-17cf-4b6d-884b-8658dadf883c,0017,2026-01-30 08:44:17 PM,1769831400,4208,9,1211692,1423517,-211825
d172fb9d-b79b-4482-9960-65d0be5e9be2,0018,2026-01-30 10:42:32 PM,1769834700,161,1,157329,181299,-23970
77d8bc53-8240-4c20-ab3d-b93c0acbe172,0019,2026-01-30 11:17:51 PM,1769837700,1090,3,269490,326606,-57116
23c7707f-446d-4327-bd91-9f10c54af26e,0020,2026-01-30 11:44:38 PM,1769844900,6808,15,2499292,2865183,-365891
f3783e6d-4de4-428e-aab4-067be4ca45b1,0021,2026-02-02 12:49:04 AM,1770016500,1791,5,627703,727844,-100141
7640ef96-e256-4935-8b7c-9b135956039f,0022,2026-02-02 05:54:23 PM,1770078300,1848,5,773362,875872,-102510
d70b7509-ce74-4aa9-bc14-40c062cdf9bc,0023,2026-02-04 05:56:12 PM,1770264300,15099,34,6332087,7166319,-834232
1012f996-490b-4e1d-8132-4be42335cf6a,0032,2026-02-22 04:35:52 PM,1771805400,5944,15,2894891,3202202,-307311
ba40c100-de7d-4c54-b51e-a5033ebeeb08,0027,2026-02-19 12:43:01 AM,1771487100,3735,9,1691220,1899777,-208557
acbbf426-a1af-4d28-b10e-575e31620a8e,0024,2026-02-08 06:43:07 PM,1770602700,5196,13,6038382,6359778,-321396
06384c8f-92c3-42ca-a7d1-786c8c5c6440,0028,2026-02-19 06:29:27 PM,1771547700,528,2,210760,237158,-26398
0c45cac7-f722-4489-82fa-e98a7bff5b43,0029,2026-02-21 11:49:56 AM,1771702800,6659,16,2666197,3023554,-357357
2ceb8856-00c7-4f71-8fb4-abcccdee1c8b,0034,2026-02-22 10:51:33 PM,1771827900,5617,13,2267542,2547763,-280221
8d8e21ab-e341-45f0-af93-7ddc4fbc02ae,0026,2026-02-19 12:16:04 AM,1771483200,1535,5,497947,827618,-329671
a15f3c47-8d51-4d75-9222-5f88c6fa5f8a,0031,2026-02-22 01:55:30 AM,1771750200,3364,10,1128146,1301302,-173156
6a449670-3221-49f3-90fa-da536b065344,0035,2026-02-27 06:19:32 PM,1772245200,7439,17,3035515,3397352,-361837
f35fbf04-42cf-4234-9c38-e8081549bc61,0025,2026-02-17 01:02:15 AM,1771314900,3445,9,1706951,1896797,-189846
ff34c7c8-509f-4579-ba10-d78ab5ef7c0c,0033,2026-02-22 10:06:11 PM,1771821900,2527,7,964539,1096996,-132457
03eb7179-8430-48a3-9a50-3cae65909a2d,0030,2026-02-21 09:11:09 PM,1771735800,6052,15,2341943,2630193,-288250
89996cf5-1599-469d-a54b-59f73ec69339,0036,2026-02-27 11:54:46 PM,1772261400,3414,11,1566299,1714911,-148612
9e1d9694-642e-4ba7-839d-8dcff4e1a53e,0037,2026-02-28 01:00:00 AM,1772263200,1428,5,598549,649207,-50658
9c6e3ba0-76b2-475a-b3bf-3f38d6625e87,0038,2026-02-28 11:42:50 AM,1772302200,1694,5,621792,715399,-93607
